doi                       , autor, revista, apellido, pais
10.1007/s11023-024-09664-2,      ,        ,         , CA
10.1007/s12541-025-01288-5,      ,        ,         , KR
10.1007/s43681-024-00628-x,      ,        ,         , GB
10.1007/s11684-024-1085-3 ,      ,        ,         , HU
10.1007/s10143-025-03783-9,      ,        ,         , US
10.1007/s10462-024-10953-6,      ,        ,         , ZA
10.1007/s10462-024-10953-6,      ,        ,         , SA
10.1007/s10462-024-10953-6,      ,        ,         , CN
10.1007/s10462-024-10953-6,      ,        ,         , JO
10.1007/s10596-024-10317-7,      ,        ,         , US
10.1007/s10596-024-10317-7,      ,        ,         , NL
10.1007/s10596-024-10317-7,      ,        ,         , CH
10.1007/s00296-024-05661-x,      ,        ,         , TR
10.1007/s12170-024-00745-6,      ,        ,         , US
10.1007/s42438-024-00463-7,      ,        ,         , US
10.1007/s11042-023-17890-6,      ,        ,         , IN
10.1007/s11934-024-01251-3,      ,        ,         , TR
10.1007/s00146-024-02037-4,      ,        ,         , HU
10.1007/s44217-024-00261-0,      ,        ,         , US
10.1007/s10393-025-01752-8,      ,        ,         , IN
10.1007/s13246-025-01535-z,      ,        ,         , MY
10.1007/s13246-025-01535-z,      ,        ,         , GB
10.1007/s13246-025-01535-z,      ,        ,         , HK
10.1007/s12574-025-00703-0,      ,        ,         , JP
10.1007/s00270-024-03956-x,      ,        ,         , US
10.1007/s00270-024-03956-x,      ,        ,         , GB
10.1007/s00270-024-03956-x,      ,        ,         , NL
10.1007/s00270-024-03956-x,      ,        ,         , FR
10.1007/s10567-025-00519-5,      ,        ,         , AU
10.1007/s10143-025-03793-7,      ,        ,         , US
10.1007/s40290-024-00536-9,      ,        ,         , DE
10.1007/s00431-024-05925-5,      ,        ,         , SE
10.1007/s00431-024-05925-5,      ,        ,         , GB
10.1007/s00431-024-05925-5,      ,        ,         , IT
10.1007/s00431-024-05925-5,      ,        ,         , JP
10.1007/s00405-024-09148-0,      ,        ,         , US
10.1007/s10639-024-13209-6,      ,        ,         , CN
10.1007/s43681-024-00642-z,      ,        ,         , US
10.1007/s10961-024-10165-8,      ,        ,         , ES
10.1007/s41060-024-00615-9,      ,        ,         , AU
10.1007/s10508-025-03100-x,      ,        ,         , IL
10.1007/s13278-024-01382-y,      ,        ,         , ES
10.1007/s10853-023-08315-8,      ,        ,         , KR
10.1007/s00464-025-11685-6,      ,        ,         , GB
10.1007/s00464-025-11685-6,      ,        ,         , DE
10.1007/s00464-025-11685-6,      ,        ,         , GB
10.1007/s00464-025-11685-6,      ,        ,         , DE
10.1007/s10729-025-09725-7,      ,        ,         , US
10.1007/s00146-025-02592-4,      ,        ,         , ES
10.1007/s40820-025-01797-y,      ,        ,         , CN
10.1007/s00066-024-02277-9,      ,        ,         , DE
10.1007/s12021-024-09692-4,      ,        ,         , US
10.1007/s11845-023-03570-9,      ,        ,         , IN
10.1007/s00296-024-05756-5,      ,        ,         , IN
10.1007/s00296-024-05756-5,      ,        ,         , GB
10.1007/s00296-024-05756-5,      ,        ,         , CA
10.1007/s00296-024-05756-5,      ,        ,         , IT
10.1007/s44373-025-00042-w,      ,        ,         , IN
10.1007/s42791-024-00068-y,      ,        ,         , KR
10.1007/s11845-024-03680-y,      ,        ,         , US
10.1007/s11845-024-03680-y,      ,        ,         , GB
10.1007/s11548-024-03071-9,      ,        ,         , GB
10.1007/s00376-024-3305-9 ,      ,        ,         , KR
10.1007/s00376-024-3305-9 ,      ,        ,         , CN
10.1007/s42791-023-00057-7,      ,        ,         , KR
10.1007/s10639-025-13448-1,      ,        ,         , CN
10.1007/s00521-024-10555-x,      ,        ,         , PL
