source,target,path_len,path
Voultsiou2025,Voultsiou2025,1,"[""Voultsiou2025""]"
Li2023,Li2023,1,"[""Li2023""]"
Nagumo2025,Nagumo2025,1,"[""Nagumo2025""]"
Durgungoz2025,Durgungoz2025,1,"[""Durgungoz2025""]"
AlZahrani2025,AlZahrani2025,1,"[""AlZahrani2025""]"
Abdelazim2025,Abdelazim2025,1,"[""Abdelazim2025""]"
Castells2025,Castells2025,1,"[""Castells2025""]"
Yusuf2025,Yusuf2025,1,"[""Yusuf2025""]"
Law2025,Law2025,1,"[""Law2025""]"
Hennekeuser2024,Hennekeuser2024,1,"[""Hennekeuser2024""]"
Coelho2025,Coelho2025,1,"[""Coelho2025""]"
Shahzad2025,Shahzad2025,1,"[""Shahzad2025""]"
Zheng2024,Zheng2024,1,"[""Zheng2024""]"
Semenov2024,Semenov2024,1,"[""Semenov2024""]"
Kitaguchi2024,Kitaguchi2024,1,"[""Kitaguchi2024""]"
Memarian2023,Memarian2023,1,"[""Memarian2023""]"
Cai2025,Cai2025,1,"[""Cai2025""]"
Kim2023,Kim2023,1,"[""Kim2023""]"
Alsharari2025,Alsharari2025,1,"[""Alsharari2025""]"
Usher2024,Usher2024,1,"[""Usher2024""]"
Zhang2023,Zhang2023,1,"[""Zhang2023""]"
Chan2025,Chan2025,1,"[""Chan2025""]"
BabaciWilhite2025,BabaciWilhite2025,1,"[""BabaciWilhite2025""]"
Khoshgoftar2024,Khoshgoftar2024,1,"[""Khoshgoftar2024""]"
Hashemi2024,Hashemi2024,1,"[""Hashemi2024""]"
Hollanek2025,Hollanek2025,1,"[""Hollanek2025""]"
Sanders2024,Sanders2024,1,"[""Sanders2024""]"
Chanda2025,Chanda2025,1,"[""Chanda2025""]"
Velsquez2025,Velsquez2025,1,"[""Velsquez2025""]"
Okamoto2025,Okamoto2025,1,"[""Okamoto2025""]"
Bulut2025,Bulut2025,1,"[""Bulut2025""]"
Ha2025,Ha2025,1,"[""Ha2025""]"
Essien2024,Essien2024,1,"[""Essien2024""]"
Letteri2025,Letteri2025,1,"[""Letteri2025""]"
Clark2025,Clark2025,1,"[""Clark2025""]"
Dahri2024,Dahri2024,1,"[""Dahri2024""]"
Bratovcic2025,Bratovcic2025,1,"[""Bratovcic2025""]"
Ye2025,Ye2025,1,"[""Ye2025""]"
Ying2025,Ying2025,1,"[""Ying2025""]"
AbouKhalil2025,AbouKhalil2025,1,"[""AbouKhalil2025""]"
Saihi2024,Saihi2024,1,"[""Saihi2024""]"
Malhotra2026,Malhotra2026,1,"[""Malhotra2026""]"
Rogerson2025,Rogerson2025,1,"[""Rogerson2025""]"
Tang2025,Tang2025,1,"[""Tang2025""]"
Santonocito2025,Santonocito2025,1,"[""Santonocito2025""]"
Buddarapu2025,Buddarapu2025,1,"[""Buddarapu2025""]"
Dekker2024,Dekker2024,1,"[""Dekker2024""]"
DaFonte2025,DaFonte2025,1,"[""DaFonte2025""]"
AlThani2025,AlThani2025,1,"[""AlThani2025""]"
Hammood2026,Hammood2026,1,"[""Hammood2026""]"
Papadakis2025,Papadakis2025,1,"[""Papadakis2025""]"
Yetiensoy2024,Yetiensoy2024,1,"[""Yetiensoy2024""]"
Pierrs2024,Pierrs2024,1,"[""Pierrs2024""]"
Pratschke2024,Pratschke2024,1,"[""Pratschke2024""]"
Anastasi2024,Anastasi2024,1,"[""Anastasi2024""]"
Veletsianos2024,Veletsianos2024,1,"[""Veletsianos2024""]"
Lane2023,Lane2023,1,"[""Lane2023""]"
Fang2024,Fang2024,1,"[""Fang2024""]"
Lia2024,Lia2024,1,"[""Lia2024""]"
Liu2024,Liu2024,1,"[""Liu2024""]"
Alkan2025,Alkan2025,1,"[""Alkan2025""]"
Habibi2025,Habibi2025,1,"[""Habibi2025""]"
Tong2024,Tong2024,1,"[""Tong2024""]"
Coppi2025,Coppi2025,1,"[""Coppi2025""]"
Shahzad2024,Shahzad2024,1,"[""Shahzad2024""]"
Bellas2025,Bellas2025,1,"[""Bellas2025""]"
Almukharreq2026,Almukharreq2026,1,"[""Almukharreq2026""]"
Manic2025,Manic2025,1,"[""Manic2025""]"
